question,optiona,optionb,optionc,optiond,correctoption
What is the capital of France?,London,Berlin,Paris,Madrid,C
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo,B
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
In which year did World War II end?,1943,1944,1945,1946,C
What is the chemical symbol for gold?,Go,Gd,Au,Ag,C
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B
What is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,B
How many continents are there on Earth?,5,6,7,8,C
What is the speed of light?,300000 km/s,150000 km/s,450000 km/s,600000 km/s,A
Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Benjamin Franklin,B
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
In which country is the Great Pyramid of Giza located?,Iraq,Egypt,Sudan,Libya,B
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C
How many bones are in the adult human body?,186,206,226,246,B
What is the currency of Japan?,Yuan,Won,Yen,Ringgit,C
